City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zorritos,-3.3318,-81.0562,22.58,85,94,5.91,PE,1698546313
1,punta arenas,-54.4893,-71.2913,-3.92,73,84,0.7,CL,1698546313
2,gore,-45.642,169.2854,14.96,51,71,0.86,NZ,1698546315
3,porto velho,-8.6404,-62.9889,25.75,72,24,1.29,BR,1698546315
4,murghob,39.0794,73.73,-13.72,74,77,1.7,TJ,1698546316
5,tazovsky,66.2352,81.2095,-14.25,93,39,4.15,RU,1698546316
6,kirensk,58.9723,109.145,-4.69,56,100,5.07,RU,1698546317
7,zeribet el oued,27.308,103.1477,6.01,83,92,0.43,CN,1698546318
8,ilha de mocambique,40.0507,79.9789,15.62,28,100,2.09,CN,1698546318
9,new norfolk,34.309,6.1807,24.92,40,100,4.12,DZ,1698546318
10,remire-montjoly,79.609,-104.7599,-14.92,96,99,2.76,CA,1698546319
11,scottburgh,73.3117,84.4331,-14.88,100,98,1.97,RU,1698546319
12,thompson,49.0921,-114.2613,-7.18,89,85,0.61,CA,1698546320
13,hola,11.3938,25.2891,25.75,61,99,2.33,SD,1698546320
14,vangaindrano,64.8773,-98.6495,-10.42,92,98,3.26,CA,1698546321
15,iskateley,50.0695,82.2463,2.58,70,100,7.0,KZ,1698546321
16,lihue,-1.5512,40.3831,23.8,94,40,1.81,KE,1698546321
17,qaqortoq,-23.2358,47.2256,18.16,98,47,1.01,MG,1698546322
18,port-aux-francais,51.6066,42.516,3.75,92,100,12.06,RU,1698546322
19,petropavlovsk-kamchatsky,26.865,35.5985,27.81,69,2,6.19,SA,1698546323
20,talakan,15.3681,34.6842,27.29,59,56,4.39,SD,1698546323
21,east london,30.7798,10.5756,21.53,26,89,5.48,LY,1698546324
22,sitka,38.8869,46.4417,19.0,46,6,2.71,AM,1698546324
23,talnakh,-6.8862,148.7056,26.98,79,100,3.31,PG,1698546324
24,ta`u,50.7019,130.4049,5.48,43,70,3.23,RU,1698546325
25,fuglafjordur,-31.465,-68.3072,26.57,10,6,6.44,AR,1698546325
26,port alfred,44.6857,99.8577,5.22,39,57,1.3,MN,1698546326
27,victorica,66.1997,129.4251,-9.36,94,100,1.13,RU,1698546327
28,lodja,35.2735,112.8378,20.6,34,0,1.28,CN,1698546327
29,santiago,50.7043,108.4252,-4.08,45,17,0.17,RU,1698546327
30,tual,26.5277,-101.0251,24.16,56,0,1.67,MX,1698546327
31,jamestown,67.9364,-158.5665,-2.65,93,100,1.61,US,1698546327
32,timimoun,57.3919,-161.3539,7.7,89,100,13.21,US,1698546328
33,iqaluit,-4.3815,-33.4919,26.99,74,83,8.46,BR,1698546328
34,aguachica,69.8897,-179.0018,-3.92,92,100,15.59,RU,1698546329
35,horta,23.6593,109.6746,20.3,95,100,2.55,CN,1698546330
36,sandnessjoen,-33.5756,-57.1978,18.09,71,0,3.02,UY,1698546330
37,fonadhoo,60.3747,-92.3887,-3.02,69,100,6.95,CA,1698546331
38,grand falls-windsor,-35.1157,-66.1009,22.07,17,84,7.67,AR,1698546331
39,seymour,-2.8236,24.3062,20.07,93,82,0.13,CD,1698546331
40,taltal,58.0255,-162.7192,7.37,97,100,10.04,US,1698546332
41,greeneville,-28.9367,-55.0363,16.73,95,19,0.81,BR,1698546332
42,badger,29.3225,1.6163,25.39,22,22,2.81,DZ,1698546334
43,cromer,-25.9125,-51.5337,17.91,99,100,1.46,BR,1698546334
44,vilyuchinsk,45.7522,140.5489,9.05,50,5,2.71,JP,1698546335
45,mcalester,50.7199,52.6443,11.9,92,45,8.22,KZ,1698546335
46,chibougamau,8.3085,-73.5526,22.94,93,97,1.26,CO,1698546335
47,enewetak,6.7964,-6.9322,21.59,98,7,1.13,CI,1698546336
48,san rafael,3.0681,-57.894,26.78,69,100,2.29,GY,1698546337
49,mendota,67.3096,10.0757,5.72,61,98,8.78,NO,1698546337
50,gumdag,-40.1935,-66.358,12.78,30,6,11.88,AR,1698546337
51,lepsy,1.4081,73.6752,27.96,75,88,8.69,MV,1698546337
52,minas de marcona,-39.1925,-56.9192,14.12,85,71,10.97,AR,1698546337
53,chiredzi,-2.689,133.6304,30.62,61,100,0.66,ID,1698546338
54,aykhal,16.723,83.7591,27.71,69,100,4.44,IN,1698546338
55,hammerfest,-36.775,144.952,26.46,16,100,5.9,AU,1698546338
56,melekhovo,-9.3775,-73.4287,24.42,82,100,1.35,PE,1698546338
57,badagry,37.6576,38.931,18.45,51,0,1.36,TR,1698546339
58,sulak,36.0482,-82.7322,17.38,83,100,0.0,US,1698546339
59,edson,67.6163,70.0112,-12.53,95,62,2.52,RU,1698546340
60,sao vicente,-30.1417,128.6869,25.13,27,0,1.97,AU,1698546340
61,berbera,-9.8143,-70.8899,22.24,97,100,0.73,BR,1698546340
62,perelyub,55.8401,96.7898,-5.03,81,100,3.78,RU,1698546340
63,kapuskasing,62.3223,-10.1732,8.55,77,100,11.56,FO,1698546341
64,el calafate,70.3614,134.2875,-8.62,95,100,1.03,RU,1698546341
65,stettler,-28.6463,149.271,26.76,21,0,2.89,AU,1698546341
66,ushtobe,54.9357,-98.4743,-5.88,80,88,2.03,CA,1698546342
67,albu kamal,68.843,-140.6651,-11.85,97,100,1.56,CA,1698546343
68,pangkalpinang,65.1569,-127.2668,-4.41,93,88,0.61,CA,1698546343
69,guerrero negro,-9.9367,-137.8477,27.01,70,1,7.11,PF,1698546344
70,vrangel',53.9024,140.406,2.98,71,86,7.21,RU,1698546344
71,polyarnyy,-26.3598,149.3778,24.89,26,0,2.9,AU,1698546344
72,kushiro,50.6251,157.2099,6.59,76,100,4.33,RU,1698546345
73,musay'id,67.0888,154.6561,-13.55,86,39,2.52,RU,1698546346
74,sorong,49.1739,60.7826,8.02,99,100,4.36,KZ,1698546346
75,kimbe,-19.4899,62.3872,24.52,76,46,3.61,MU,1698546346
76,la reforma,34.925,-95.3075,9.11,97,100,2.53,US,1698546346
77,porbandar,56.796,-74.8287,-10.97,95,81,1.88,CA,1698546346
78,kavieng,56.009,163.8569,4.84,66,20,1.33,RU,1698546347
79,gaiman,-6.6048,23.9009,19.91,92,45,0.25,CD,1698546347
80,natal,58.8837,-130.4427,-2.6,54,92,1.15,CA,1698546347
81,olonkinbyen,21.4412,-70.2632,28.12,78,12,6.34,TC,1698546348
82,tazacorte,57.3309,-76.4487,-4.94,80,90,0.6,CA,1698546348
83,shimoda,-34.087,-69.2596,8.47,50,100,8.72,AR,1698546349
84,ngama,36.6192,-120.6565,12.61,24,0,2.47,US,1698546349
85,huarmey,13.4724,-91.0182,28.39,78,92,9.34,GT,1698546350
86,kodinsk,38.57,54.4862,19.96,44,94,1.65,TM,1698546351
87,basco,46.9377,79.7258,7.83,93,100,4.98,KZ,1698546351
88,nyazepetrovsk,23.9316,97.9778,19.38,66,11,0.98,CN,1698546351
89,hermanus,-21.8108,31.7721,20.81,66,3,5.41,ZW,1698546352
90,sao tome,1.0549,30.4149,20.1,91,76,0.94,UG,1698546352
91,itoman,-31.7346,134.5393,22.88,23,0,4.29,AU,1698546353
92,tralee,56.085,41.346,-0.47,70,100,3.73,RU,1698546353
93,timmins,10.8015,-75.5319,25.01,80,99,6.57,CO,1698546354
94,constantia,30.3466,34.0122,22.07,68,6,1.71,EG,1698546354
95,linxia chengguanzhen,-44.1289,-64.4118,12.38,45,17,15.3,AR,1698546354
96,haiku-pauwela,62.7389,-134.9983,-7.97,96,94,1.14,CA,1698546354
97,vadso,6.4267,2.8662,25.88,87,18,1.8,NG,1698546355
98,kayenta,17.0992,-6.9272,29.09,11,1,3.75,MR,1698546355
99,khorugh,41.3899,94.0794,9.75,36,0,1.23,CN,1698546355
100,fale old settlement,43.6291,47.9449,15.67,88,10,2.41,RU,1698546355
101,iskushuban,-0.4903,-75.1184,24.83,88,73,1.09,CO,1698546356
102,kovdor,54.5001,-116.921,-4.32,85,13,1.47,CA,1698546356
